user_id;revenue;testgroup
1;0;b
2;0;a
3;0;a
4;0;b
5;0;b
6;0;b
7;0;b
8;0;b
9;0;b
10;0;a
11;0;a
12;0;a
13;0;a
14;0;b
15;0;a
16;0;a
17;0;a
18;0;b
19;0;b
20;0;a
21;0;a
22;0;a
23;0;a
24;0;b
25;0;b
26;0;b
27;0;a
28;0;b
29;0;b
30;0;a
31;0;b
32;0;a
33;0;b
34;0;a
35;0;a
36;0;b
37;0;a
38;0;a
39;0;a
40;0;a
41;0;b
42;0;a
43;0;a
44;0;b
45;0;a
46;0;b
47;0;b
48;0;a
49;0;a
50;0;b
51;0;b
52;0;b
53;0;b
54;0;a
55;0;b
56;0;b
57;0;b
58;0;a
59;0;b
60;0;a
61;0;a
62;0;a
63;0;a
64;0;b
65;0;a
66;0;a
67;0;b
68;0;b
69;0;b
70;0;b
71;0;b
72;0;a
73;351;a
74;0;b
75;0;a
76;0;a
77;0;a
78;0;b
79;0;a
80;0;a
81;0;a
82;0;a
83;0;a
84;0;a
85;0;b
86;0;a
87;0;b
88;0;b
89;0;b
90;0;b
91;0;b
92;0;a
93;0;b
94;0;a
95;0;a
96;0;b
97;0;b
98;0;a
99;0;b
100;0;b
101;0;a
102;0;a
103;0;a
104;0;b
105;0;b
106;0;b
107;0;b
108;0;b
109;0;b
110;0;a
111;0;b
112;0;b
113;0;a
114;0;b
115;0;a
116;0;a
117;0;b
118;0;a
119;0;b
120;0;a
121;0;a
122;0;b
123;0;a
124;0;b
125;0;a
126;0;b
127;0;b
128;0;b
129;0;a
130;0;a
131;0;b
132;0;b
133;0;a
134;0;a
135;0;b
136;0;b
137;0;b
138;0;a
139;0;a
140;0;a
141;0;b
142;0;a
143;0;a
144;0;b
145;0;b
146;0;b
147;0;a
148;0;a
149;0;a
150;0;a
151;0;a
152;0;b
153;0;a
154;0;b
155;0;b
156;0;b
157;0;b
158;0;a
159;0;b
160;0;a
161;3797;b
162;0;a
163;0;b
164;0;a
165;0;b
166;0;a
167;0;b
168;0;a
169;0;b
170;0;a
171;0;a
172;0;a
173;0;a
174;0;b
175;0;a
176;0;b
177;0;b
178;0;b
179;0;b
180;0;b
181;0;b
182;0;a
183;0;a
184;0;b
185;0;b
186;0;a
187;0;b
188;0;b
189;0;b
190;0;b
191;0;b
192;0;b
193;0;a
194;0;b
195;0;a
196;0;a
197;0;a
198;0;b
199;0;a
200;0;b
201;0;b
202;0;a
203;0;a
204;0;a
205;0;b
206;0;a
207;0;b
208;0;a
209;0;a
210;0;a
211;0;a
212;0;a
213;0;a
214;0;a
215;0;b
216;0;b
217;0;a
218;0;b
219;0;b
220;0;a
221;0;b
222;0;a
223;0;a
224;0;b
225;0;a
226;0;b
227;0;a
228;0;b
229;0;a
230;0;b
231;0;a
232;0;a
233;0;a
234;0;a
235;0;b
236;0;b
237;0;a
238;0;a
239;0;b
240;0;b
241;0;a
242;0;b
243;0;a
244;0;a
245;0;a
246;0;a
247;0;b
248;0;b
249;0;a
250;0;b
251;0;b
252;0;b
253;0;a
254;0;a
255;0;a
256;0;b
257;0;a
258;0;b
259;0;a
260;0;a
261;0;a
262;0;a
263;0;b
264;0;a
265;0;a
266;0;b
267;0;a
268;0;b
269;0;b
270;0;b
271;0;b
272;0;a
273;0;b
274;0;b
275;0;a
276;0;b
277;0;b
278;0;b
279;0;a
280;0;a
281;0;a
282;0;b
283;0;a
284;0;a
285;0;a
286;0;b
287;0;a
288;0;a
289;0;a
290;0;b
291;0;b
292;0;b
293;0;b
294;0;b
295;0;a
296;0;b
297;0;b
298;0;a
299;0;b
300;0;b
301;0;a
302;0;b
303;0;a
304;0;a
305;0;a
306;0;a
307;0;b
308;0;a
309;0;b
310;0;b
311;0;b
312;0;a
313;0;a
314;0;b
315;0;a
316;0;b
317;0;b
318;0;a
319;0;a
320;0;a
321;0;b
322;0;a
323;0;b
324;0;b
325;0;b
326;0;a
327;0;a
328;0;a
329;0;a
330;0;b
331;0;a
332;0;a
333;0;a
334;0;b
335;0;b
336;0;b
337;0;b
338;0;a
339;0;a
340;0;b
341;0;b
342;290;a
343;0;a
344;0;b
345;0;b
346;0;b
347;0;a
348;0;b
349;0;a
350;0;a
351;0;a
352;0;a
353;0;b
354;0;b
355;0;a
356;0;b
357;0;b
358;0;a
359;0;a
360;0;a
361;0;a
362;0;b
363;0;b
364;0;b
365;0;a
366;0;a
367;0;a
368;0;b
369;0;a
370;0;b
371;0;b
372;0;b
373;0;a
374;0;b
375;0;b
376;0;a
377;0;a
378;3768;b
379;0;a
380;0;b
381;0;a
382;0;a
383;0;a
384;0;b
385;0;b
386;250;a
387;3527;b
388;0;a
389;0;b
390;0;b
391;0;a
392;0;b
393;0;a
394;0;a
395;0;b
396;0;b
397;0;b
398;0;b
399;0;b
400;0;a
401;0;b
402;0;b
403;0;b
404;0;a
405;0;b
406;0;b
407;0;a
408;0;b
409;0;a
410;0;a
411;0;a
412;0;b
413;0;a
414;0;b
415;0;a
416;0;a
417;37324;a
418;0;b
419;0;a
420;0;a
421;0;a
422;0;b
423;0;b
424;0;b
425;0;a
426;0;b
427;0;a
428;0;b
429;0;a
430;0;a
431;0;b
432;0;b
433;0;b
434;0;b
435;0;a
436;0;b
437;0;a
438;0;a
439;0;a
440;0;b
441;0;a
442;0;b
443;0;b
444;0;b
445;0;b
446;0;b
447;0;a
448;0;b
449;0;a
450;0;b
451;0;a
452;0;a
453;0;a
454;0;b
455;0;b
456;0;a
457;0;a
458;0;a
459;0;b
460;0;b
461;0;b
462;0;b
463;0;b
464;0;a
465;0;a
466;0;a
467;0;a
468;0;b
469;0;a
470;0;b
471;0;b
472;0;b
473;0;a
474;0;b
475;0;a
476;0;a
477;0;a
478;0;b
479;0;a
480;0;b
481;0;b
482;0;b
483;0;b
484;0;b
485;0;b
486;0;b
487;0;b
488;0;b
489;0;b
490;0;a
491;0;a
492;0;b
493;0;b
494;0;b
495;0;a
496;0;b
497;0;a
498;0;a
499;0;a
500;0;a
501;0;b
502;0;b
503;0;a
504;0;b
505;0;b
506;0;b
507;0;a
508;0;b
509;0;b
510;0;b
511;0;b
512;0;a
513;0;b
514;0;a
515;0;a
516;0;a
517;0;a
518;0;b
519;0;b
520;0;b
521;0;b
522;0;a
523;0;b
524;0;b
525;0;b
526;0;b
527;0;b
528;0;b
529;0;b
530;0;a
531;0;b
532;0;a
533;0;b
534;0;a
535;0;a
536;0;b
537;0;b
538;0;a
539;0;b
540;0;a
541;0;a
542;0;b
543;0;a
544;0;a
545;0;b
546;0;a
547;0;b
548;0;a
549;0;b
550;0;b
551;0;b
552;2038;b
553;0;b
554;0;a
555;0;a
556;0;b
557;0;a
558;0;a
559;0;b
560;0;b
561;0;a
562;0;a
563;0;b
564;0;b
565;0;b
566;0;b
567;0;a
568;0;b
569;0;b
570;0;a
571;0;b
572;0;b
573;0;a
574;0;a
575;0;a
576;0;b
577;0;b
578;0;a
579;0;a
580;0;a
581;0;b
582;0;a
583;0;b
584;0;b
585;0;b
586;0;a
587;0;a
588;0;a
589;0;b
590;0;a
591;0;b
592;0;a
593;0;b
594;0;a
595;0;a
